,sentence,task,label,encoded,output,target
134,"However, I have the following concerns.",fine,arg-structuring_heading,6.0,6,6
135,"1, the ME problem is quite similar to the concept ontology, e.g. , a “Dalmatian,” a “dog”, or a “mammal”.",fine,none,9.0,9,9
136,So what’s the key difference? Hierarchical learners can avoid this problem.,fine,arg-request_clarification,0.0,3,0
137,"2, I would say, the SOTA neural networks fundamentally are just representation learned, i.e., feature representation learning.",fine,none,9.0,9,9
138,"The learned features could in principle be employed to construct advanced learners, .e.g., hierarchical Bayesian.",fine,none,9.0,9,9
139,It’s probably a bit unfair or misleading to claim neural networks suffering from ME bias.,fine,none,9.0,9,9
140,"3, In Sec. 3, the first and section paragraph, I can not quite understand how the ME bias theory guide the following synthetic experiments.",fine,arg-request_clarification,0.0,9,0
141,Please give more explanations.,fine,none,9.0,9,9
142,"4, in Sec. 3.1, considering the small number of training instances, whether it is large enough to train the NN/ not overfitting issues?",fine,arg-request_explanation,3.0,3,3
143,5. Whether the ME bias mostly attributed to the one-hot representation? If one uses word2vec as the representation in NN,fine,arg-request_explanation,3.0,3,3
144,", the ME bias will be solved.",fine,none,9.0,9,9
145,"Actually, this is the standard practice in some learning tasks, e.g., zero-shot learning.",fine,none,9.0,9,9
146,"6, the experimental design of Sec. 4.2 is also a bit unfair.",fine,none,9.0,9,9
147,"It seems to me that the tasks are organized as unbalanced instances of each classes, and asking the common NNs to learn this  task. Of course, this common NNs can not address it.",fine,none,9.0,9,9
148,----,fine,none,9.0,9,9
149,I read the rebuttal. the authors clarified and answered the questions. I would like to raise the score.,fine,none,9.0,9,9
150,"This is an novel, interesting paper on an important topic: semi-supervised learning.",fine,none,9.0,9,9
151,"Even though the proposed approach seems to have significant potential, the experimental",fine,none,9.0,9,9
152,"is somewhat disorganized,",fine,none,9.0,9,9
153,and it also includes some weak claims that should be removed.,fine,arg-request_edit,1.0,1,1
154,"For example, the number of labeled examples in Table 1 is fairly large and inconsistent (4K, 1K, 10K for the 3 organic datasets).",fine,arg-request_edit,1.0,9,1
155,"In this reviewer's opinion, it would be a lot more reasonable to have instead a learning curve showing the results for, say, 100, 500, 1K, 5K, and 10K labeled examples for all three domains.",fine,arg-request_result,4.0,2,4
156,"In 4.1, you are using different epsilon policies for synthetic vs organic datasets; why?",fine,arg-request_explanation,3.0,3,3
157,"The explanation for underperforming on SVHM (page 7) may be valid, but you could easily prove it right or wrong by adding an option to SST for ""stratified SSL."" Without this extra work, your claim is just a conjecture.",fine,arg-request_explanation,3.0,9,3
158,You should also show the performance of regular SSL methods in the setup on Table 4.,fine,arg-request_experiment,2.0,2,2
159,"Last but not least, you have repeatedly made the claim combining SST and other SSL may further improve the performance;",fine,none,9.0,9,9
160,"however, you do not provide any evidence for it, so you should avoid making such claims.",fine,arg-request_edit,1.0,9,1
161,Other comments:,fine,arg-structuring_heading,6.0,6,6
162,"- on page 2, the two terms classification & selection network appear ""out of the blue;"" it would be quite helpful to make it clear from the abstract that the proposed implementation is for neural networks.",fine,arg-request_clarification,0.0,1,0
163,- figures 2 & 3 should be a lot larger in order to be readable,fine,arg-request_edit,1.0,1,1
164,"- 4.1.2 top of page 7: claims such as ""SST could have obtained better performance"" have no place in such a paper; you could instead make a note about the method being ""prohibitively CPU intensive for the time being""",fine,arg-request_edit,1.0,1,1
165,"- lower on the same page you say: ""SST may get better performance"" - see above",fine,arg-request_edit,1.0,1,1
166,The paper proposed a hierarchical framework for problem embedding and intended to apply it to adaptive tutoring.,fine,arg-structuring_summary,8.0,8,8
167,The system first used a rule-based method to extract the concepts for problems and then learned the concept embeddings and used them for problem representation.,fine,arg-structuring_summary,8.0,8,8
168,"In addition, the paper further proposed negative pre-training for training with imbalanced data sets to decrease false negatives and positives.",fine,arg-structuring_summary,8.0,8,8
169,The methods are compared with some other word-embedding based methods and showed 100% accuracy in a similarity detection test on a very small dataset.,fine,arg-structuring_summary,8.0,8,8
170,"In sum, the paper has a very good application but not good enough as a research paper.",fine,none,9.0,9,9
171,Some of the problems are listed as follows:,fine,arg-structuring_heading,6.0,6,6
172,1.	Lack of technical novelty.,fine,none,9.0,9,9
173,It seems to me just a combination of several mature techniques.,fine,none,9.0,9,9
174,I do not see much insight into the problem.,fine,none,9.0,9,9
175,"For example, if the rule-based concept extractor can already extract concepts very well, the “problem retrieval” should be solved by searching with the concepts as queries.",fine,none,9.0,9,9
176,Why should we use embedding to compare the similarity?,fine,arg-request_explanation,3.0,3,3
177,"Also, the title of the paper is about problem retrieval but the experiments are about similarity comparison, there seems a gap.",fine,none,9.0,9,9
178,"2.	Data size is too small, and the baselines",fine,none,9.0,9,9
179,are not state-of-the-art. There are some unsupervised sentence embedding methods other than the word-embedding based models.,fine,none,9.0,9,9
180,Some clarity issues.,fine,arg-structuring_heading,6.0,6,6
181,"For example, Page 6. “is pre-trained on a pure set of negative samples”— what is the objective function? How to train on only negative samples?",fine,arg-request_clarification,0.0,3,0
182,Summary:,fine,arg-structuring_heading,6.0,6,6
183,"The manuscript proposes a multi-domain adversarial learning (MDL) method called MULANN, to leverage multiple datasets with overlapping but distinct class sets, in a semi-supervised setting.",fine,arg-structuring_summary,8.0,8,8
184,"The authors define a new discrimination task to discriminate, within each domain, labeled samples from unlabeled ones that most likely belong to extra classes (classes with no labeled or unlabeled samples in the domain).",fine,arg-structuring_summary,8.0,8,8
185,"They also introduce a bound on the average- and worst-domain risk in MDL, obtained using the H-divergence.",fine,arg-structuring_summary,8.0,8,8
186,Strengths:,fine,arg-structuring_heading,6.0,6,6
187,- The idea of using discriminators for separating the labeled samples from unlabeled ones that most likely belong to extra classes is interesting.,fine,none,9.0,9,9
188,- A new generalization bound for MDL is introduced.,fine,none,9.0,9,9
189,"- The paper was clear, well written, well-motivated and nicely structured.",fine,none,9.0,9,9
190,"- The authors perform numerous empirical experiments on several types of problems on various datasets (Digit, OFFICE,CELL) successfully showing how the MULANN can reduce the nasty effects of the adversarial domain discriminator and repulse (a fraction of) unlabeled examples from labeled ones in each domain.",fine,none,9.0,9,9
191,Weaknesses:,fine,arg-structuring_heading,6.0,6,6
192,- all the experiments except the last row of Table 2 concern adaptation between two domains.,fine,none,9.0,9,9
193,"Given the paper title, the reviewer would have expected more experiments in a multiple domain context.",fine,none,9.0,9,9
194,"More precisely, for the digit datasets, the reviewer was interested to see how the proposed MDL performs on jointly adapting SVHN, MNIST, MNIST-M, and USPS or jointly adapting DSLR, Amazon, and Webcam for OFFICE dataset.",fine,arg-request_experiment,2.0,2,2
195,"Moreover, comparison with some of the DA baselines (ADDA[1], DSN[2]) is missing.",fine,arg-request_experiment,2.0,9,2
196,- The authors propose to rank the unlabeled samples of each domain according to the entropy of their classification of the current classifier.,fine,none,9.0,8,9
197,Obviously there must be some false ranking (specially at the initial stages of updating the classifier) for the unlabeled samples (e.g. the classifier may output high entropy for the unlabeled samples of the classes with labeled samples) and they may harm the performance of adaptation.,fine,none,9.0,9,9
198,It is not clear how MULANN can work in this situation and how its performance vary with the noisy signals conveyed in those false pseudolabeled samples.,fine,none,9.0,9,9
199,"- Although the paper introduces the generalization bound for MDL, it does not give new formulation or algorithm to handle MDL (MULANN handles only the class asymmetry when domains involve distinct sets of classes and it has nothing to do with MDL).",fine,none,9.0,9,9
200,"hence, there is no connection between the theoretical results on MDL generalization bound and the proposed method MULANN.",fine,none,9.0,9,9
201,-,fine,arg-structuring_heading,6.0,6,6
202,"Since each domain may have different number of classes, it is not clear how the number of classes (L) is set in the classification module (maximum number of classes in all domain?).",fine,none,9.0,9,9
203,"The reviewer is also interested to see how the the generalization bound introduced in this paper is related to the recent theoretical works [3],[4] on MDL.",fine,arg-request_experiment,2.0,2,2
204,"[1] Tzeng, Eric, et al. ""Adversarial discriminative domain adaptation."" Computer Vision and Pattern Recognition (CVPR). Vol. 1. No. 2. 2017.",fine,none,9.0,9,9
205,[2],fine,arg-structuring_heading,6.0,6,6
206,"Bousmalis, Konstantinos, et al. ""Domain separation networks."" Advances in Neural Information Processing Systems. 2016.",fine,none,9.0,9,9
207,"[3] Zhao, Han, et al. ""Multiple Source Domain Adaptation with Adversarial Learning."" Advances in Neural Information Processing Systems. 2018.",fine,none,9.0,9,9
208,"[4] Hoffman, Judy, Mehryar Mohri, and Ningshan Zhang. ""Algorithms and Theory for Multiple-Source Adaptation.""  Advances in Neural Information Processing Systems. 2018.",fine,none,9.0,9,9
209,"The authors propose three improvements to the DNC model: masked attention, erasion of de-allocated elements, and sharpened temporal links --- and show that this allows the model to solve synthetic memory tasks faster and with better precision.",fine,arg-structuring_summary,8.0,8,8
210,They also show the model performs better on average on bAbI than the original DNC.,fine,arg-structuring_summary,8.0,8,8
211,"The negatives are that the paper does not really show this modified DNC can solve a task that the original DNC could not. As the authors also admit, there have been other DNC improvements that have had more dramatic improvements on bAbI.",fine,none,9.0,9,9
212,"I think the paper is particularly clearly written, and I would vote for it being accepted as it has implications beyond the DNC.",fine,none,9.0,9,9
213,The fact that masked attention works so much better than the standard cosine-weighted content-based attention is pretty interesting in itself.,fine,none,9.0,9,9
214,"The insights (e.g. Figure 5) are interesting and show the study is not just trying to be a benchmark paper for some top-level results, but actually cares about understanding a problem and fixing it.",fine,none,9.0,9,9
215,"Although most recent memory architectures do not seem to have incorporated the DNC's slightly complex memory de-allocation scheme, any resurgent work in this area would benefit from this study.",fine,none,9.0,9,9
216,The paper deals with the problem of recovering an exact solution for both the dictionary and the activation coefficients.,fine,arg-structuring_summary,8.0,8,8
217,"As other works, the solution is based on a proper initialization of the dictionary.",fine,arg-structuring_summary,8.0,8,8
218,The authors suggest using Aurora 2015 as a possible initialization.,fine,arg-structuring_summary,8.0,8,8
219,The contribution improves Arora 2015 in that it converges linearly and recovers both the dictionary and the coefficients with no bias.,fine,arg-structuring_summary,8.0,8,8
220,"The main contribution is the use of a IHT-based strategy to update the coefficients, with a gradient-based update for the dictionary (NOODL algorithm).",fine,arg-structuring_summary,8.0,8,8
221,"The authors show that, combined with a proper initialization, this has exact recovery guaranties.",fine,arg-structuring_summary,8.0,8,8
222,"Interestingly, their experiments show that NOODL converges linearly in number of iterations, while Arora gets stuck after some iterations.",fine,arg-structuring_summary,8.0,8,8
223,I think the paper is relevant and proposes an interesting contribution.,fine,none,9.0,9,9
224,The paper is well written and the key elements are in the body.,fine,none,9.0,9,9
225,"However, there is a lot of important material in the Appendix, which I think may be relevant to the readers.",fine,none,9.0,9,9
226,It would be nice to have some more intuitive explanations at least of Theorem 1.,fine,arg-request_edit,1.0,2,1
227,"Also, it is clear in the experiments the superiority with respect to Arora in terms of iterations (and error), but what about computational time?",fine,arg-request_clarification,0.0,3,0
228,The paper proposed variational selective autoencoders (VSAE) to learn from partially-observed multimodal data.,fine,arg-structuring_summary,8.0,8,8
229,"Overall, the proposed method is elegant; however, the presentation, the claim, and the experiments suffer from significant flaws.",fine,none,9.0,9,9
230,See below for detailed comments.,fine,arg-structuring_heading,6.0,6,6
231,[Pros],fine,arg-structuring_heading,6.0,6,6
232,1. The main idea of the paper is to propose a generative model that can handle partially-observed multimodal data during training.,fine,arg-structuring_summary,8.0,8,8
233,"Specifically, prior work considered non-missing data during training, while we can't always guarantee that all the modalities are available.",fine,none,9.0,9,9
234,"Especially in the field of multimodal learning, we often face the issue of imperfect sensors.",fine,none,9.0,9,9
235,This line of work should be encouraged.,fine,none,9.0,9,9
236,"2. In my opinion, the idea is elegant.",fine,none,9.0,9,9
237,The way the author handles the missingness is by introducing an auxiliary binary random variable (the mask) for it.,fine,arg-structuring_summary,8.0,8,8
238,"Nevertheless, its presentation and Figure 1 makes this elegant idea seems over-complicated.",fine,none,9.0,9,9
239,[Cons],fine,arg-structuring_heading,6.0,6,6
240,1. [The claim] One of my concerns for this paper is the assumption of the factorized latent variables from multimodal data.,fine,none,9.0,9,9
241,"Specifically, the author mentioned Tsai et al. assumed factorized latent variables from the multimodal data, while Tsai et al. actually assumed the generation of multimodal data consists of disentangled modality-specific and multimodal factors.",fine,none,9.0,9,9
242,"It seems to me; the author assumed data from one modality is generated by all the latent factors (see Eq. (11)), then what is the point for assuming the prior of the latent factor is factorized (see Eq. (4) and (5))?",fine,arg-request_explanation,3.0,3,3
243,"One possible explanation is because we want to handle the partially-observable issues from multimodal data, and it would be easier to make the latent factors factorized (see Eq. (6)).",fine,none,9.0,9,9
