,sentence,task,label,encoded,output,target
26,"Other non-spherical method (such as volumetric or multi-view based methods)  can only be generalized into unknown orientations using SO(3) rotation augmentations, their representation of 3D shapes are either too sparse (voxel model) or too redundant (multi-view projections).",reb_fine,rebuttal_answer,1.0,1,1
27,"Compared to SO(3) spherical convolution method (Cohen et al. 2018), our network is computationally efficient (in terms of network model), but we have to admit that this is at the price of required data augmentation",reb_fine,rebuttal_answer,1.0,1,1
28,.,reb_fine,rebuttal_other,10.0,15,10
29,Another advantage is that our network allows local filters and local-to-global multi-level spherical features extraction.,reb_fine,rebuttal_answer,1.0,1,1
30,"The other two spherical convolution methods (Cohen et al 2018 and Esteves et al 2018) use a lat-lon grid and conduct convolution in the Fourier space, which has a common disadvantage: the Fourier transform does not support local spherical filters.",reb_fine,rebuttal_answer,1.0,1,1
31,"Another disadvantage is the use of lat-lon grid which introduces unevenness of the perception field (due to the high resolution near the poles, and low resolution at the equator).",reb_fine,rebuttal_answer,1.0,1,1
32,"Experimentally, we compared the three spherical convolution methods in Table 3 using Shrec’17 perturbed shape retrieval experiment.",reb_fine,rebuttal_answer,1.0,5,1
33,"Cohen et al 2018 and ours obtain similar performances because both of the methods used anisotropic filters, the former achieves rotational invariant using SO(3) rotations for filters, while ours achieves rotational invariant using alt-az rotation of filter and SO(2) rotation augmentation of input shapes.",reb_fine,rebuttal_answer,1.0,1,1
34,"As expected, anisotropic filter perform  better than the isotropic filter proposed in Esteves et al 2018 which limits the model capacity.",reb_fine,rebuttal_answer,1.0,1,1
35,Q3:  Is there a specific useful application where spherical methods in general outperform other approaches?,reb_fine,rebuttal_answer,1.0,15,1
36,"A3: As mentioned in Cohen et al 2018, perhaps the most exciting future application of the Spherical CNN is in omnidirectional vision.",reb_fine,rebuttal_future,7.0,7,7
37,"Although very little omnidirectional image data is currently available in public repositories, the increasing prevalence of omnidirectional sensors in drones, robots, and autonomous cars makes this a very compelling application of our work.",reb_fine,rebuttal_mitigate-criticism,8.0,1,8
38,Omnidirectional vision is a better application to show the strength of the spherical convolution method.,reb_fine,rebuttal_mitigate-criticism,8.0,1,8
39,We thank reviewer for his insightful comments.,reb_fine,rebuttal_social,14.0,14,14
40,1.,reb_fine,rebuttal_structuring,15.0,15,15
41,We agree with the reviewer that sinkhorn iteration is a way to obtain an upper bound on Wasserstein distance.,reb_fine,rebuttal_concede-criticism,3.0,3,3
42,"However, based on the original paper, they solve the Sinkhorn divergen with T iterations, later when they solve the generator based on the estimated distance, the gradient has to backpropagate through those T iterations, which is expensive and infeasible.",reb_fine,rebuttal_reject-request,13.0,1,13
43,"We also note that there is new work, IPOT (Xie et al., 2018), which can get rid of backpropagating through the T iterations as what we adopted (Bertsekas, 1985) in the paper.",reb_fine,rebuttal_mitigate-criticism,8.0,1,8
44,Combining PC-GAN with IPOP or other future works could be an interesting future work.,reb_fine,rebuttal_future,7.0,7,7
45,"2.  The variance of the sandwiched estimator can be higher, but we are more concerned about bias in this work, which can be treated as a bias-variance trade-off.",reb_fine,rebuttal_mitigate-criticism,8.0,1,8
46,"3. The 20:1 mixture used in practice do not directly correspond to s in theory, because the distances we compute are not scaled.",reb_fine,rebuttal_reject-criticism,12.0,1,12
47,"For example, if the f_\phi, the discriminator of GAN, is k-Lipschitz, the lower bound estimate should be divided by k.",reb_fine,rebuttal_reject-criticism,12.0,1,12
48,"However, k is unknown in practice.",reb_fine,rebuttal_reject-criticism,12.0,1,12
49,"Therefore, we just numerically did a coarse grid search and find the best mixture ratio.",reb_fine,rebuttal_reject-criticism,12.0,1,12
50,"Also, we try different ratios as we replied to R2 above.",reb_fine,rebuttal_structuring,15.0,15,15
51,Ratio                   D2F (Distance to Face),reb_fine,rebuttal_summary,16.0,15,16
52,Coverage,reb_fine,rebuttal_none,9.0,15,9
53,1:0,reb_fine,rebuttal_summary,16.0,15,16
54,6.03E+00                        3.36E-01,reb_fine,rebuttal_summary,16.0,16,16
55,40:1,reb_fine,rebuttal_summary,16.0,15,16
56,6.06E+00                       3.41E-01,reb_fine,rebuttal_summary,16.0,16,16
57,20:1,reb_fine,rebuttal_summary,16.0,15,16
58,5.77E+00                       3.47E-01,reb_fine,rebuttal_summary,16.0,16,16
59,10:1,reb_fine,rebuttal_summary,16.0,15,16
60,6.85E+00                       3.56E-01,reb_fine,rebuttal_summary,16.0,16,16
61,0 :1,reb_fine,rebuttal_summary,16.0,15,16
62,9.19E+00                       3.67E-01,reb_fine,rebuttal_summary,16.0,16,16
63,"4. We do not consider W_s to be very close from W_U. As can be seen from Figure 6, for the aeroplane examples, W_U fails to capture aeroplane tires while W_s can.",reb_fine,rebuttal_reject-criticism,12.0,1,12
64,"Similarly for Chair example, W_s recovers better legs than W_U. Quantitatively, we highlight that W_s outperforms W_U consistently as shown in Table 1.",reb_fine,rebuttal_reject-criticism,12.0,1,12
65,"Thus, we consider both W_U and W_L is needed to generate good quality point clouds.",reb_fine,rebuttal_reject-criticism,12.0,1,12
66,We thank the reviewer for the great feedback.,reb_fine,rebuttal_social,14.0,14,14
67,"We have simplified the architecture described in the paper by combining the networks $\sigma$ and $\omega$, and included the results from this architecture as well, producing a more robust architecture that performs better for multiple rewrite steps (while keeping the original, more complicated solution as one of the baselines).",reb_fine,rebuttal_done,5.0,5,5
68,"As suggested, we have added further analysis of failure cases.",reb_fine,rebuttal_done,5.0,5,5
69,"We also corrected the typos and clarified the definitions of True, Pred (One Step) and Pred (Multi Step) variants.",reb_fine,rebuttal_done,5.0,5,5
70,We are very grateful for the review that helped to improve the paper significantly.,reb_fine,rebuttal_social,14.0,14,14
71,Thank you for your comments and suggestions.,reb_fine,rebuttal_social,14.0,14,14
72,We will address the issues you mentioned.,reb_fine,rebuttal_social,14.0,15,14
73,1.,reb_fine,rebuttal_structuring,15.0,15,15
74,ARTNet is not very much related to our V4D.,reb_fine,rebuttal_answer,1.0,1,1
75,"Basically, ARTNet is an alternative for 3D CNNs by replacing 3D convolution layers with SMART blocks.",reb_fine,rebuttal_answer,1.0,1,1
76,"The SMART blocks are two branch units, with one branch for learning static appearance features and one branch for learning motion features.",reb_fine,rebuttal_answer,1.0,1,1
77,ARTNet is a clip-based method for learning short-term representations while our V4D is a video-level method for learning both short-term and long-term representations.,reb_fine,rebuttal_answer,1.0,1,1
78,"2.	During training, we uniformly divide the whole video into U sections and randomly select one action unit from each section.",reb_fine,rebuttal_answer,1.0,1,1
79,So there are no overlaps for training.,reb_fine,rebuttal_answer,1.0,15,1
80,"For testing, there might be overlapping during sampling due to the limit length of video.",reb_fine,rebuttal_answer,1.0,1,1
81,"However, our V4D inference algorithm in section 3.4 guarantees that only the non-overlapping action units will interact with each other during testing.",reb_fine,rebuttal_answer,1.0,1,1
82,3.,reb_fine,rebuttal_structuring,15.0,15,15
83,Sure.,reb_fine,rebuttal_answer,1.0,15,1
84,We train all the models with 8 GPUs of GTX 1080 with memory capacity of 11178MB.,reb_fine,rebuttal_answer,1.0,1,1
85,"For the inference speed, our V4D ResNet18 takes 0.67s per video and V4D ResNet50 takes 1.22s per video.",reb_fine,rebuttal_answer,1.0,1,1
86,"In addition, we also reported the GFLOPs of V4D and compared it with other typical methods in Table 2(b).",reb_fine,rebuttal_done,5.0,5,5
87,"For training on Mini-Kinetics, V4D ResNet18 takes a bit more than 1 day while V4D ResNet50 takes a bit more than 3 days.",reb_fine,rebuttal_answer,1.0,1,1
88,4.,reb_fine,rebuttal_structuring,15.0,15,15
89,We can only find the results of ARTNet ResNet18 in the published paper.,reb_fine,rebuttal_reject-criticism,12.0,1,12
90,"After communication with the authors of ARTNet, we confirm that there are no results published for ARTNet ResNet50.",reb_fine,rebuttal_reject-criticism,12.0,3,12
91,So instead we implement ARTNet ResNet50 by ourselves and the top1 accuracy on Kinetics-400 is 74.3%.,reb_fine,rebuttal_reject-criticism,12.0,1,12
92,This is still lower than our V4D ResNet50 whose top1 on Kinetics-400 is 77.4%.,reb_fine,rebuttal_reject-criticism,12.0,1,12
93,"Also, ARTNet ResNet18 reports an average metric of 81.4%, which is the average of top1 and top5 accuracy.",reb_fine,rebuttal_reject-criticism,12.0,1,12
94,While our V4D yields an average score of 85.3%.,reb_fine,rebuttal_reject-criticism,12.0,1,12
95,5.,reb_fine,rebuttal_structuring,15.0,15,15
96,Thank you for providing this related work and we now cite this paper in the second version.,reb_fine,rebuttal_done,5.0,5,5
97,This paper utilizes 4D CNN to process videos of point cloud so that their input is 4D data.,reb_fine,rebuttal_summary,16.0,15,16
98,"Instead, our V4D processes videos of RGB frames so that our input is 3D data.",reb_fine,rebuttal_summary,16.0,1,16
99,This basically makes the methods and tasks quite different.,reb_fine,rebuttal_summary,16.0,1,16
100,Actually we was going to cite this paper yet considering the significant difference we finally did not cite it in the original version.,reb_fine,rebuttal_summary,16.0,3,16
101,"Hopefully our rebuttal could stress your concerns. If there are still any possible issues, please don’t hesitate to tell us and we will response as soon as possible.",reb_fine,rebuttal_social,14.0,14,14
102,Thank you for your fruitful comments.,reb_fine,rebuttal_social,14.0,14,14
103,>>,reb_fine,rebuttal_structuring,15.0,15,15
104,What would make it stronger imo is to address the issue of how much is gained from a discrete vs. continuous representation.,reb_fine,rebuttal_structuring,15.0,1,15
105,"Discrete representations by themselves are not better than continuous ones (cf. Table 1, wav2vec vs. vq-wav2vec).",reb_fine,rebuttal_refute-question,11.0,1,11
106,"However, discretization enables the application of existing algorithms from the NLP literature which were designed for discrete inputs.",reb_fine,rebuttal_refute-question,11.0,1,11
107,We show that the BERT model can be directly applied to discretized speech.,reb_fine,rebuttal_refute-question,11.0,1,11
108,BERT can better model context than (vq-)wav2vec.,reb_fine,rebuttal_refute-question,11.0,1,11
109,>> The authors take it as a given that discrete is good because it allows us to leverage work in NLP. That makes sense -- but at what cost?,reb_fine,rebuttal_structuring,15.0,15,15
110,"Chaining vq-wav2vec and BERT requires more computational effort than just wav2vec, however, it does improve accuracy as our results show (cf. Table 1).",reb_fine,rebuttal_answer,1.0,1,1
111,Running BERT requires roughly as much computational overhead as just vq-wav2vec.,reb_fine,rebuttal_answer,1.0,1,1
112,>> The state of the art on LibriSpeech is not Mohamed at al. 2019.,reb_fine,rebuttal_structuring,15.0,15,15
113,See e.g. Irie et al. Interspeech 2019 for better result.,reb_fine,rebuttal_structuring,15.0,15,15
114,"Thanks for pointing this out, we fixed this in the updated version of the paper we just posted.",reb_fine,rebuttal_done,5.0,5,5
115,>> The Conclusion is very sparse.,reb_fine,rebuttal_structuring,15.0,15,15
116,We broadened conclusion and delineated additional future work.,reb_fine,rebuttal_done,5.0,2,5
117,Thanks for your valuable comments and feedback.,reb_fine,rebuttal_social,14.0,14,14
118,We attempted to much  improve the clarity of our paper by adding further explanations and correcting typos in many places.,reb_fine,rebuttal_done,5.0,5,5
119,New experiments have also been added.,reb_fine,rebuttal_summary,16.0,5,16
120,Please find bellow our answers to your specific remarks.,reb_fine,rebuttal_summary,16.0,14,16
121,"R: ""In the modeling section, authors use p(I|D) as q^D(.) in the Eq. 12, ...  Beyond this simplification, I am not clear if that is actually intended by the authors.""",reb_fine,rebuttal_structuring,15.0,15,15
122,"A: You are totally right, eq.10 simplifies to $\log p(D) \geq",reb_fine,rebuttal_concede-criticism,3.0,15,3
123,\mathbb{E}_{I \sim,reb_fine,rebuttal_concede-criticism,3.0,16,3
124,q^D},reb_fine,rebuttal_concede-criticism,3.0,16,3
125,"\left[ \sum\limits_{i=1}^{|D|-1} \log p(D_i |D_{<i},I_{<i})  + \sum\limits_{v \not\in U^D} \log p(v \not\in U^D| D_{\leq |D|-1}, I)\right]$. We were aware of this but for simplicity and the conciseness of presentation we chose to not give this final derivation.",reb_fine,rebuttal_concede-criticism,3.0,16,3
126,"Also, this was because $P(D_i,I_i|D_{<i},I_{<i})$ is much easier to compute (and more efficient) than $P(D_i |D_{<i},I_{<i})$, given that the computation of $P(I_i| D_{\leq i},I_{<i})$ is in both case required for sampling ($P(D_i,I_i|D_{<i},I_{<i})$ involves a simple product while $P(D_i|D_{<i},I_{<i})$ involves a sum of products).",reb_fine,rebuttal_answer,1.0,1,1
127,"But we agree this was not a good choice, since this simplification appears obvious to the reader.",reb_fine,rebuttal_concede-criticism,3.0,3,3
128,"We hesitated a lot on this, our decision was taken to present things as closely as possible to our implementation (by the way there was a mistake in the algorithm 2 resulting from this hesitation - the implementation for our experiments was correct however).",reb_fine,rebuttal_answer,1.0,1,1
129,We agree that this may appear confusing.,reb_fine,rebuttal_concede-criticism,3.0,3,3
130,Particularly since it gives the feeling that parents of infections are not involved anymore in the computation.,reb_fine,rebuttal_concede-criticism,3.0,1,3
131,"But there are actually, since there remains $P(I_i|D_{<i},I_{<i})$ terms in the expectation.",reb_fine,rebuttal_concede-criticism,3.0,1,3
132,The process learns parameters that tend to give high probabilities to the most likely parent vectors regarding infections from the episode.,reb_fine,rebuttal_concede-criticism,3.0,1,3
133,"In the revision of the paper, we gave the final derivation you suggested, since it is better for comprehension (It also allowed us to discuss more precisely on what is optimized by considering the given gradient update), and we discuss about its implementation in the appendix as an explanation for the algorithm 2 (that only slightly changed to correct the aforementioned mistake).",reb_fine,rebuttal_done,5.0,5,5
134,Thanks for this remark that helped us to much improve the paper.,reb_fine,rebuttal_social,14.0,14,14
135,"R: ""The authors explain how they trained their own model but there is no mention on how they trained benchmark models""",reb_fine,rebuttal_structuring,15.0,15,15
136,"A: You are totally right, it is missing.",reb_fine,rebuttal_concede-criticism,3.0,3,3
137,Baseline models are trained on the same training set as our model following the methods proposed in their original paper.,reb_fine,rebuttal_answer,1.0,1,1
138,"Our model and the baselines were tuned by a grid search process on a validation set for each dataset (whose size is given in the description of the datasets),",reb_fine,rebuttal_answer,1.0,1,1
139,although the best hyper-parameters obtained for Arti1 remained near optimal for the other ones.,reb_fine,rebuttal_answer,1.0,1,1
140,"For every model with an embedding space (i.e., all except CTIC), we set its dimension to $d=50$ (larger dimensions induce a more difficult convergence of the learning without significant gain in accuracy).",reb_fine,rebuttal_done,5.0,1,5
141,We added this explanation in the new version of the paper.,reb_fine,rebuttal_done,5.0,5,5
142,"We very much appreciate your valuable comments, efforts and times on our paper.",reb_fine,rebuttal_social,14.0,14,14
143,Our responses for all your questions are provided below. Our major revisions in the new draft are colored by red.,reb_fine,rebuttal_structuring,15.0,15,15
144,Q1. Updated proof.,reb_fine,rebuttal_structuring,15.0,15,15
145,"To address your concerns, we provided more detailed explanations of our proof arguments in the revised draft (see Appendix F).",reb_fine,rebuttal_done,5.0,5,5
146,We also re-organized our proof completely for better understanding.,reb_fine,rebuttal_done,5.0,5,5
147,Q2. Relation to Tandem approach.,reb_fine,rebuttal_structuring,15.0,15,15
148,"As you pointed out, our method is somewhat related to Tandem approach [1] in that both post-process a generative model on top of hidden features extracted by DNNs.",reb_fine,rebuttal_reject-criticism,12.0,1,12
149,"However, the main purpose of Tandem is not for handling noisy labels.",reb_fine,rebuttal_reject-criticism,12.0,1,12
150,"In particular, the Tandem approaches utilize the EM algorithm that should be highly influenced by outliers, while our method is specialized to be robust against them.",reb_fine,rebuttal_reject-criticism,12.0,1,12
151,We clarified this in Section 2 of the revised draft.,reb_fine,rebuttal_done,5.0,5,5
152,"[1]  Hermansky, H., Ellis, D.P. and Sharma, S., Tandem connectionist feature extraction for conventional HMM systems. In IEEE ICASSP, 2000.",reb_fine,rebuttal_other,10.0,10,10
153,"Thanks a lot,",reb_fine,rebuttal_social,14.0,14,14
154,Authors,reb_fine,rebuttal_social,14.0,14,14
155,"Dear AnonReviewer1,",reb_fine,rebuttal_social,14.0,14,14
156,We hope that you found our rebuttal/revision for you and other reviewers in common.,reb_fine,rebuttal_social,14.0,14,14
157,"If you have any remaining questions/concerns, please do not hesitate to let us know and we would be happy to answer.",reb_fine,rebuttal_social,14.0,14,14
158,"Thank you very much,",reb_fine,rebuttal_social,14.0,14,14
159,Authors,reb_fine,rebuttal_social,14.0,14,14
160,We thank the reviewer for their comprehensive review.,reb_fine,rebuttal_social,14.0,14,14
161,"We updated the paper with better results over more tasks, either matching or outperforming the human baseline in terms of final accuracy, and outperforming the model-free baseline in all cases.",reb_fine,rebuttal_done,5.0,5,5
162,"We also included results over multiple runs of all experiments, showing the minimum, maximum and mean accuracy.",reb_fine,rebuttal_done,5.0,5,5
163,"1. While it is true that the manually-tuned baseline we provided is simple, it is a standard practice in the field to adjust the learning rate during training and keep the rest of the hyperparameters constant.",reb_fine,rebuttal_answer,1.0,1,1
164,Adjusting all of them requires significantly more effort and is infeasible in many cases.,reb_fine,rebuttal_answer,1.0,1,1
165,"2. Due to time constraints, we have not benchmarked our method against more hyperparameter-tuning baselines yet.",reb_fine,rebuttal_answer,1.0,1,1
166,We agree that it would be a very valuable comparison and leave that for future work.,reb_fine,rebuttal_future,7.0,7,7
167,"Nevertheless, please note that the human baselines we use for Transformer have been tuned by researchers using auto-tuners among other tools.",reb_fine,rebuttal_answer,1.0,1,1
168,"3. [1] successfully use PPO with an LSTM policy on a challenging, partially-observable environment.",reb_fine,rebuttal_answer,1.0,15,1
169,"It is equally principled to use a Transformer policy, since both would operate on the same sequence of observations.",reb_fine,rebuttal_answer,1.0,1,1
170,"The SimPLe algorithm runs PPO on an MDP approximated by a powerful model that handles stochasticity well, which is also a valid approach.",reb_fine,rebuttal_answer,1.0,1,1
171,4. We updated the paper with a justification of our action discretization scheme.,reb_fine,rebuttal_answer,1.0,5,1
172,"Such a discretization has a number of benefits, including multi-modality, which cannot be achieved using a parameterized Gaussian policy.",reb_fine,rebuttal_answer,1.0,1,1
173,"[2] show that discretization of the action space improves the average performance, stability and robustness to hyperparameters of reinforcement learning agents on a range of continuous control tasks.",reb_fine,rebuttal_answer,1.0,1,1
174,"5. While we have not included such transfer experiments in our current work, we do believe that a model trained on enough architectures and tasks will generalize to new ones.",reb_fine,rebuttal_answer,1.0,1,1
175,"For instance, in the updated version of the paper, we show that the learned policy employs similar learning rate and weight decay rate adjustment schemes across very different tasks.",reb_fine,rebuttal_done,5.0,1,5
176,"Substantiating this claim in the general case will likely require a large-scale study, which we plan to perform in the future.",reb_fine,rebuttal_future,7.0,7,7
177,"[1] OpenAI et al. “Learning Dexterous In-Hand Manipulation”, arXiv preprint arXiv:1808.00177 (2018)",reb_fine,rebuttal_other,10.0,10,10
178,"[2] Tang et al. “Discretizing Continuous Action Space for On-Policy Optimization”, arXiv preprint 1901.10500 (2019)",reb_fine,rebuttal_other,10.0,10,10
179,Thanks for your feedback.,reb_fine,rebuttal_social,14.0,14,14
180,We reply to all reviewers jointly in our comments above.,reb_fine,rebuttal_summary,16.0,15,16
181,"First of all, thank you for taking your time to review our paper and providing feedback. We have judiciously taken the comments of the reviewers,  and apologize for the late response due to additional experiments and modifications of the paper.",reb_fine,rebuttal_social,14.0,14,14
182,"Remark 1. ""the number of labeled examples in Table 1 is fairly large and inconsistent (4K, 1K, 10K for the 3 organic datasets).""",reb_fine,rebuttal_structuring,15.0,15,15
183,A : The purpose of our experiments is to show that the SST algorithm is comparable to the conventional SSL algorithms.,reb_fine,rebuttal_answer,1.0,1,1
184,"Therefore, we experimented with the popular setting.",reb_fine,rebuttal_answer,1.0,1,1
185,The following is the experimented dataset in other papers.,reb_fine,rebuttal_answer,1.0,15,1
186,"- Temporal ensembling & Π model [1]: CIFAR-10 (4k), SVHN (500, 1k), CIFAR-100 (10k)",reb_fine,rebuttal_answer,1.0,15,1
187,"- VAT [2] : CIFAR-10 (4k), SVHN (1k), CIFAR-100 (no experiment)",reb_fine,rebuttal_answer,1.0,15,1
188,"- Mean Teacher [3]: CIFAR-10 (1k, 2k, 4k), SVHN (250, 500, 1k), CIFAR-100 (10k)",reb_fine,rebuttal_answer,1.0,15,1
189,"We took the reviewer’s comment judiciously and have added CIFAR-10 (1k, 2k) experiments in Section 6.5 of the supplementary material and their accuracies are comparable with those of the conventional SSL algorithms. (It took a long time to perform 5 runs of test for all additional experiments.)",reb_fine,rebuttal_done,5.0,5,5
190,———————————————————————————,reb_fine,rebuttal_none,9.0,15,9
191,"The result of CIFAR-10 (1k, 2k) with 5 runs",reb_fine,rebuttal_structuring,15.0,15,15
192,———————————————————————————,reb_fine,rebuttal_structuring,15.0,15,15
193,(error     / standard deviation) |,reb_fine,rebuttal_other,10.0,9,10
194,1k        |        2k,reb_fine,rebuttal_other,10.0,9,10
195,supervised                       | ( 38.71 / 0.47 ) | ( 26.99 / 0.79 ),reb_fine,rebuttal_other,10.0,16,10
196,Π model [1]                      | ( 27.36 / 1.2 )  | ( 18.02 / 0.60 ),reb_fine,rebuttal_other,10.0,16,10
197,mean teacher [3],reb_fine,rebuttal_other,10.0,15,10
198,| ( 21.55 / 1.48 ) | ( 15.73 / 0.31 ),reb_fine,rebuttal_other,10.0,9,10
199,SST                              | ( 23.15 / 0.61 ) | ( 15.72 / 0.50 ),reb_fine,rebuttal_other,10.0,9,10
200,———————————————————————————,reb_fine,rebuttal_other,10.0,15,10
201,"[1] Laine, Samuli, and Timo Aila. ""Temporal ensembling for semi-supervised learning."" arXiv preprint arXiv:1610.02242 (2016).",reb_fine,rebuttal_answer,1.0,10,1
202,"[2]Takeru Miyato, Shin-ichi Maeda, Masanori Koyama, and Shin Ishii. Virtual adversarial training: a regularization method for supervised and semi-supervised learning. arXiv preprint arXiv:1704.03976, 2017.",reb_fine,rebuttal_answer,1.0,10,1
203,[3] Antti Tarvainen and Harri Valpola. Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep,reb_fine,rebuttal_answer,1.0,10,1
204,"Remark 2. ""Why does the SST algorithm use different epsilon policies for synthetic vs organic datasets?""",reb_fine,rebuttal_structuring,15.0,15,15
205,A : There are different network structures in the synthetic and organic dataset (table 4-5 in the supplementary materials in the new version).,reb_fine,rebuttal_answer,1.0,1,1
206,"And, because there are only 12 initial points in the synthetic, it needs much higher confidence than organic datasets.",reb_fine,rebuttal_answer,1.0,1,1
207,(Epsilon is increased in log-scale and begins at a very small value (10^(−5)) where no data is added in the organic dataset.,reb_fine,rebuttal_answer,1.0,1,1
208,"However, in synthetic data, unlabeled data is added when epsilon begins at (10^(−5)).",reb_fine,rebuttal_answer,1.0,1,1
209,"Therefore, We have changed the epsilon value so that no data is added at the beginning of the iteration.)",reb_fine,rebuttal_answer,1.0,1,1
210,Remark 3.,reb_fine,rebuttal_structuring,15.0,15,15
211,What is the problem in SVHN (balance problem or dataset or both)?,reb_fine,rebuttal_answer,1.0,15,1
212,A : We have experimented with SVHN with data balancing.,reb_fine,rebuttal_answer,1.0,1,1
213,"In SVHN, 1,000 images are used as the labeled data and 45,000 balanced unlabeled images are used.",reb_fine,rebuttal_answer,1.0,1,1
214,"As a result, the SST is still worse than other algorithm [1].",reb_fine,rebuttal_answer,1.0,1,1
215,"Therefore, we have modified our expression and added the result in Section 6.4 of the supplementary material.",reb_fine,rebuttal_done,5.0,5,5
216,"Remark 4. ""You should also show the performance of regular SSL methods in the setup on Table 4.""",reb_fine,rebuttal_structuring,15.0,15,15
217,A : We have performed experiments of self-training without threshold and SST with softmax output.,reb_fine,rebuttal_done,5.0,5,5
218,"Although the experimental setting is a bit different from [1], the setting of 100% of non-animal unlabeled data is the same.",reb_fine,rebuttal_answer,1.0,1,1
219,They have shown that the performance degraded when the unlabeled dataset contained 100% of non-animal data in figure 2 in [4].,reb_fine,rebuttal_answer,1.0,1,1
220,The approximate score in Figure 2 of [4],reb_fine,rebuttal_answer,1.0,15,1
221,—————————————————————,reb_fine,rebuttal_other,10.0,15,10
222,100% out-of-class (error),reb_fine,rebuttal_other,10.0,15,10
223,—————————————————————,reb_fine,rebuttal_other,10.0,15,10
224,supervised learning : about 23.5%,reb_fine,rebuttal_other,10.0,1,10
225,Π model : about 26.3 %,reb_fine,rebuttal_other,10.0,15,10
226,Mean Teacher : about 26.3 %,reb_fine,rebuttal_other,10.0,15,10
227,VAT : about 26%,reb_fine,rebuttal_other,10.0,16,10
228,—————————————————————,reb_fine,rebuttal_other,10.0,15,10
